,node,name,lat,lon,closeness,Station,Trafic
0,1,OLYMPIADES,48.82694828196076,2.367038433387592,1.3132352815752135e-06,OLYMPIADES,7103304
1,7440,OLYMPIADES,48.82702909203566,2.367351563599449,0.00016146410055775586,OLYMPIADES,7103304
2,7480,OLYMPIADES,48.827128133014696,2.3666437779895237,0.00016368977123140723,OLYMPIADES,7103304
3,5,COUR SAINT-EMILION,48.83331371557845,2.387299704383512,1.7374102467795121e-06,COUR SAINT-EMILION,5859214
4,7,BERCY,48.840542782965464,2.3794094631230687,1.9770335984783568e-06,BERCY,5544847
5,419,BERCY,48.84019224440348,2.3794772572660587,3.0767005424016026e-06,BERCY,5544847
6,18262,BERCY,48.82755015444301,2.3929160999411563,0.0001222439563336599,BERCY,5544847
7,9,GARE DE LYON,48.844652150982945,2.37310814754528,1.9895087219892993e-06,GARE DE LYON,36352115
8,324,GARE DE LYON,48.84555978708341,2.37344920496318,2.750200413198147e-06,GARE DE LYON,36352115
9,325,GARE DE LYON,48.844804715128525,2.3738435712712422,3.0040630679721987e-06,GARE DE LYON,36352115
10,5395,GARE DE LYON,48.84369043264488,2.373284500119991,0.00014131835083493557,GARE DE LYON,36352115
11,5424,GARE DE LYON,48.843744254309904,2.3736249556721383,0.00018225657260074438,GARE DE LYON,36352115
12,7371,GARE DE LYON,48.84386116261595,2.3733935527604038,0.00016907393081177642,GARE DE LYON,36352115
13,7372,GARE DE LYON,48.842530379578726,2.3754078541183516,0.0,GARE DE LYON,36352115
14,12880,GARE DE LYON,48.84397806224592,2.3731893823763586,0.00016743441606406243,GARE DE LYON,36352115
15,19436,GARE DE LYON,48.84410395312293,2.372971600444252,0.0001551082346387145,GARE DE LYON,36352115
16,9,GARE DE LYON,48.844652150982945,2.37310814754528,1.9895087219892993e-06,GARE DE LYON,37192652
17,324,GARE DE LYON,48.84555978708341,2.37344920496318,2.750200413198147e-06,GARE DE LYON,37192652
18,325,GARE DE LYON,48.844804715128525,2.3738435712712422,3.0040630679721987e-06,GARE DE LYON,37192652
19,5395,GARE DE LYON,48.84369043264488,2.373284500119991,0.00014131835083493557,GARE DE LYON,37192652
20,5424,GARE DE LYON,48.843744254309904,2.3736249556721383,0.00018225657260074438,GARE DE LYON,37192652
21,7371,GARE DE LYON,48.84386116261595,2.3733935527604038,0.00016907393081177642,GARE DE LYON,37192652
22,7372,GARE DE LYON,48.842530379578726,2.3754078541183516,0.0,GARE DE LYON,37192652
23,12880,GARE DE LYON,48.84397806224592,2.3731893823763586,0.00016743441606406243,GARE DE LYON,37192652
24,19436,GARE DE LYON,48.84410395312293,2.372971600444252,0.0001551082346387145,GARE DE LYON,37192652
25,13,MADELEINE,48.869578970578424,2.324162488791942,1.2716784695068607e-06,MADELEINE,6992609
26,246,MADELEINE,48.8697947152178,2.3246120120222655,3.88192165044653e-06,MADELEINE,6992609
27,897,MADELEINE,48.86950712762907,2.324680199591515,3.305292615892215e-06,MADELEINE,6992609
28,5376,MADELEINE,48.87052260432167,2.3238352803584,0.00017767235137384452,MADELEINE,6992609
29,5440,MADELEINE,48.869956563045214,2.3253476474582184,0.0001672550420966706,MADELEINE,6992609
30,7512,MADELEINE,48.868626210205754,2.3232635941930755,0.00017349188616604393,MADELEINE,6992609
31,8049,MADELEINE,48.86944432102202,2.325715598888305,0.00014647682509697844,MADELEINE,6992609
32,15,SAINT-LAZARE,48.8755376703957,2.3251964899774276,1.1309139942759997e-06,SAINT-LAZARE,45879586
33,115,SAINT-LAZARE,48.87568150641968,2.325591584819959,3.716101830137805e-06,SAINT-LAZARE,45879586
34,116,SAINT-LAZARE,48.875420977789275,2.3266952720717047,3.7368730076687124e-06,SAINT-LAZARE,45879586
35,117,SAINT-LAZARE,48.876067814352574,2.324188100771013,3.962229505071622e-06,SAINT-LAZARE,45879586
36,17,SAINT-DENIS-UNIVERSITÉ,48.94611087248738,2.3620451929905992,1.9819040547139206e-06,SAINT-DENIS-UNIVERSITÉ,4875315
37,19,VAL D'EUROPE,48.85549704826123,2.7736084332189748,1.5351089511156015e-06,VAL D'EUROPE,4094800
38,27471,VAL D'EUROPE,48.855395,2.773434,9.540982472300973e-06,VAL D'EUROPE,4094800
39,22,VILLIERS,48.88132429394468,2.3165967615088174,2.9845591243869087e-06,VILLIERS,6063343
40,23,VILLIERS,48.88140510041144,2.316147050907411,3.3714388826803926e-06,VILLIERS,6063343
41,5872,VILLIERS,48.88159396071515,2.3168828140764535,0.00012143180099353785,VILLIERS,6063343
42,5892,VILLIERS,48.8811985587443,2.31710099447656,0.00015249473404024185,VILLIERS,6063343
43,10888,VILLIERS,48.89601180102115,2.2729598026983204,0.00014165106850462508,VILLIERS,6063343
44,10889,VILLIERS,48.89587682441385,2.272646470322342,0.0001438374797895291,VILLIERS,6063343
45,24,VINCENNES,48.84732387116057,2.433531596877892,2.862645038148595e-06,VINCENNES,6718268
46,27461,VINCENNES,48.847308,2.4333,1.5259728413265432e-05,VINCENNES,6718268
47,25,VOLONTAIRES,48.84141844267774,2.307993649386661,2.8857441771766693e-06,VOLONTAIRES,2405459
48,27,WAGRAM,48.883712476037346,2.3055577575143036,2.960155543702626e-06,WAGRAM,2475539
49,28,DANUBE,48.88195101817822,2.3932606758573876,2.3620458006392428e-06,DANUBE,618124
50,29,TORCY,48.83972842272958,2.655903115145281,1.882068128794623e-06,TORCY,4141694
51,27469,TORCY,48.839646,2.65513,1.0843160563684623e-05,TORCY,4141694
52,31,VARENNE,48.85639306919846,2.3147543648102884,3.5640759750753284e-06,VARENNE,1429509
